id,name,artists,album,release_date,energy,danceability,popularity,keywords
0800NFKDicegzMbus9LiuH,Tu Meri,Vishal Dadlani,Bang Bang (Original Motion Picture Soundtrack),9/15/14,0.687,0.679,63,"['tu', 'shuru', 'kar', 'chalna', 'ho', 'hai', 'hain', 'song', 'ek', 'main']"
6EAMI8iHwC3TCSBGVKoWng,Ghungroo,"Vishal-Shekhar, Arijit Singh, Shilpa Rao, Kumaar",War,9/30/19,0.727,0.695,56,"['ghungroo', 'ke', 'toot', 'gaye', 'song', 'ki', 'àààààà', 'hai', 'nahi', 'se']"
6IYS7wNZxRBvLpwMZDbcdP,Jai Jai Shivshankar,"Vishal-Shekhar, Vishal Dadlani, Benny Dayal, Kumaar",War,9/30/19,0.904,0.825,44,"['jai', 'hey', 'rang', 'udne', 'song', 'aaj', 'shivshankar', 'ke', 'hai', 'ho']"
2n9ylYiF7urpXo36qBwr3g,Mera Dil Bhi Kitna Pagal Hai - Recreated Version,Stebin Ben,Mera Dil Bhi Kitna Pagal Hai (Recreated Version),12/20/18,0.733,0.601,62,"['hai', 'bhi', 'kitna', 'mera', 'dil', 'saajan', 'pagal', 'recreated', 'song', 'àààà¾']"
788Lp6lHrCrxJAZvS2l9YZ,Dum Dum,"Salim–Sulaiman, Benny Dayal, Himani Kapoor, Amitabh Bhattacharya",Band Baaja Baaraat,3/11/10,0.812,0.748,56,"['dum', 'band', 'baaja', 'baaraat', 'song', 'mp3', 'salimsulaiman', 'download', 'songs', 'music']"
4lKuVRhrSO9le6tRbgrpKC,Aadha Ishq,"Salim–Sulaiman, Shreya Ghoshal, Amitabh Bhattacharya",Band Baaja Baaraat,3/11/10,0.505,0.546,54,"['aadha', 'ishq', 'band', 'baaja', 'baaraat', 'song', 'mp3', 'salimsulaiman', 'download', 'songs']"
5pAo2q7eVt65OSkwYgqhHl,Daaru Desi,"Benny Dayal, Shalmali Kholgade, Pritam",Cocktail (Original Motion Picture Soundtrack),6/15/12,0.781,0.703,62,"['daaru', 'desi', 'song', 'àà¾àà', 'àààà', 'lagi', 'jaise', 'hai', 'mujhe', 'ho']"
77QLO6fafn5BGev2ADuFKz,Ooh La La,"Bappi Lahiri, Shreya Ghoshal",The Dirty Picture,10/29/11,0.972,0.742,56,"['la', 'na', 'ooh', 'song', 'ahhaa', 'choo', 'ho', 'hai', 'oho', 'tu']"
7jpmNt5iCtSdXuT1xEGp8O,Patakha Guddi,"Sultana, Jyoti Nooran",Highway,1/22/14,0.791,0.814,61,"['ali', 'ka', 'naam', 'patakha', 'guddi', 'female', 'version', 'song', 'àªàà¾àà¾', 'àààààà']"
1sbW5E7w8tnqpYk0Frx8QG,Maahi Ve,A.R. Rahman,Highway,1/22/14,0.72,0.604,65,"['maahi', 'hai', 'tu', 'aye', 'song', 'ye', 'bhi', 'saath', 'mp3', 'har']"
1CVqr5LImdmJ1Upt4z08Pm,Tu Hi Mera,"Pritam, Shafqat Amanat Ali",Jannat 2 (Original Motion Picture Soundtrack),3/30/12,0.859,0.621,65,"['tu', 'yaar', 'mera', 'hi', 'song', 'hein', 'ik', 'mujhko', 'mere', 'kya']"
0d1JQdBaeetUo8xAiKCT3C,Tera Deedar Hua,"Pritam, Anupam Amod, Rahat Fateh Ali Khan",Jannat 2 (Original Motion Picture Soundtrack),3/30/12,0.845,0.58,60,"['tera', 'deedar', 'hua', 'song', 'mp3', 'rahat', 'fateh', 'ali', 'khan', 'download']"
2VJIaxgWeyw9loL1sqKl7c,Rab Ka Shukrana,"Pritam, Mohit Chauhan",Jannat 2 (Original Motion Picture Soundtrack),3/30/12,0.559,0.602,55,"['rab', 'ka', 'shukrana', 'song', 'àà', 'àà¾', 'àààààà¾àà¾', 'mp3', 'mohit', 'chauhan']"
62wnQra2VgCUyHO3BUIAcr,Jannatein Kahan,"Pritam, KK",Jannat 2 (Original Motion Picture Soundtrack),3/30/12,0.77,0.546,59,"['jannatein', 'kahan', 'song', 'ààààààà', 'àà¹à¾à', 'mp3', 'kk', 'download', 'songs', 'music']"
0rUN8ascPVT9iiLzC5ocPw,Abhi Toh Party Shuru Hui Hai,"Badshah, Aastha Gill",Khoobsurat,8/12/14,0.815,0.806,57,"['hai', 'àà', 'toh', 'party', 'shuru', 'abhi', 'hui', 'song', 'à', 'àªà¾àààà']"
3SHopOL3KEJ8PFl3vJdfmF,Naina,"Sona Mohapatra, Armaan Malik",Khoobsurat,8/12/14,0.556,0.495,61,"['naina', 'ae', 'mann', 'jaave', 'song', 'àààà¾', 'di', 'hai', 'karda', 'diyan']"
3Kd0dzfRnf5DOExPHMdDt3,Dhunki,"Sohail Sen, Neha Bhasin, Irshad Kamil",Mere Brother Ki Dulhan,8/9/11,0.77,0.726,53,"['dhunki', 'mere', 'brother', 'ki', 'dulhan', 'song', 'mp3', 'sohail', 'sen', 'download']"
0rxEPf4Y6uBmV3hkrV340a,Isq Risk,"Sohail Sen, Rahat Fateh Ali Khan, Irshad Kamil",Mere Brother Ki Dulhan,8/9/11,0.634,0.846,64,"['isq', 'risk', 'lofi', 'mix', 'song', 'mp3', 'sohail', 'sen', 'download', 'songs']"
44OZwf1pS0nnoPJEz2pqAX,Madhubala,"Sohail Sen, Ali Zafar, Shweta Pandit, Irshad Kamil",Mere Brother Ki Dulhan,8/9/11,0.977,0.797,57,"['ààààà', 'madhubala', 'mere', 'brother', 'ki', 'dulhan', 'song', 'ààààà¾à²à¾', 'àààà', 'àà']"
